# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=55   E_DFT=   11.851113  Re=   42.088313  Im=-43954.112409
n=56   E_DFT=   12.074724  Re=   23.506465  Im=18111.370579
n=57   E_DFT=   12.074724  Re=   23.494735  Im=-18019.806396
n=58   E_DFT=   12.784646  Re=    4.407435  Im=11410.584298
n=59   E_DFT=   12.784646  Re=    3.957565  Im=-11552.251051
n=60   E_DFT=   13.416472  Re=   35.380034  Im=-25193.301565
n=61   E_DFT=   13.416472  Re=   35.331709  Im=24873.436387
n=62   E_DFT=   14.106289  Re=   67.035988  Im=13029.254638
n=63   E_DFT=   14.106289  Re=   66.981085  Im=-13372.541685
n=64   E_DFT=   14.592480  Re=   29.705708  Im=-17645.087443
n=65   E_DFT=   14.592480  Re=   29.568773  Im=19826.419525
n=66   E_DFT=   15.006387  Re=   72.960853  Im=49860.014595
n=67   E_DFT=   15.006387  Re=   72.870144  Im=-54499.935514
