
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747568   11.838527836   -9.581107286  -13.808327017    7.884640040   -5.923686977   -5.923686977   -9.011799908  -13.239019640   -5.354379600   -5.354379600    1.000000000
   2   -3.363046818   -3.363046818  -16.065747568   11.838527836   -9.581107286  -13.808327017    7.884640040   -5.923686977   -5.923686977   -9.011799908  -13.239019640   -5.354379600   -5.354379600    1.000000000
   3   -0.707274858   -0.707274858  -13.867984732   10.203513648   -9.092127564  -12.756598648    9.791021862   -2.965576786   -2.965576786   -8.456012472  -12.120483556   -2.329461694   -2.329461694    1.000000000
   4   -0.707274858   -0.707274858  -13.867984732   10.203513648   -9.092127564  -12.756598648    9.791021862   -2.965576786   -2.965576786   -8.456012472  -12.120483556   -2.329461694   -2.329461694    1.000000000
   5    5.056658076    5.056658076  -13.538588446    9.651957338   -9.668833282  -13.555464390   16.470572830    2.915108440    2.915108440   -8.555589123  -12.442220231    4.028352599    4.028352599    1.000000000
   6    5.056658076    5.056658076  -13.538588446    9.651957338   -9.668833282  -13.555464390   16.470572830    2.915108440    2.915108440   -8.555589123  -12.442220231    4.028352599    4.028352599    1.000000000
   7    5.088288518    5.088288518  -13.527872843    9.643915328   -9.666810883  -13.550768398   16.498851467    2.948083069    2.948083069   -8.566203256  -12.450160771    4.048690695    4.048690695    1.000000000
   8    5.088288518    5.088288518  -13.527872843    9.643915328   -9.666810883  -13.550768398   16.498851467    2.948083069    2.948083069   -8.566203256  -12.450160771    4.048690695    4.048690695    1.000000000
   9    7.800189171    7.800189171   -5.037736767    2.910829884   -9.127809909  -11.254716791   18.352337178    7.097620387    7.097620387   -7.990105645  -10.117012527    8.235324651    8.235324651    1.000000000
  10    7.800189171    7.800189171   -5.037736767    2.910829884   -9.127809909  -11.254716791   18.352337178    7.097620387    7.097620387   -7.990105645  -10.117012527    8.235324651    8.235324651    1.000000000
  11    9.587046911    9.587046911   -4.431172330    2.580357879   -8.728895303  -10.579709754   19.474283811    8.894574057    8.894574057   -7.568658071   -9.419472522   10.054811289   10.054811289    1.000000000
